Chi, Rho, delta_a, N
2.082608, 3.000000, 12.000000, 1
2.130073, 3.000000, 25.000000, 1
2.108740, 3.000000, 15.000000, 1
2.055382, 3.000000, 10.000000, 1
2.009428, 3.000000, 8.000000, 1
2.001171, 3.000000, 5.000000, 1
2.118319, 3.000000, 18.000000, 1
2.126790, 3.000000, 22.000000, 1
1.061915, 3.000000, 12.000000, 2
0.532382, 3.000000, 12.000000, 4
0.266410, 3.000000, 12.000000, 8
0.709564, 3.000000, 12.000000, 3
0.426019, 3.000000, 12.000000, 5
0.355127, 3.000000, 12.000000, 6
0.304469, 3.000000, 12.000000, 7
